anabhimlāta,,
anabhirūpa,,
anabhilāṣin,ī,
anabhilulita,,
anabhivāduka,,
anabhivādya,,
anabhivyakta,,
anabhiśasta,,
anabhiṣekya,,
anabhiṣecanīya,,
anabhisandhikṛta,,
anabhisambandha,,
anabhisneha,,
anabhihita,,
anabhyārūḍha,,
anabhyārohya,,
anabhyāśa,,
anabhyāsamitya,,
anabhyāsa,,
anamitampaca,,
anamitra,,
anamin,ī,
anambara,,
anayaṃgata,,
anargala,,
anargha,,
anarghya,,
anarjuna,,
anarthakara,,
anarthaka,,
anarthakāma,,
anarthadarśin,ī,
anarthabhāva,,
anarthalupta,,
anartha,,
anarthāvekṣa,,
anarthya,,
anardhuka,,
anarvaṇa,,
anarva,,
anarha,,
analada,,
analadīpana,,
analasa,,
analpaghoṣa,,
analpa,,
anavagata,,
anavagāhin,ī,
anavagāhya,,
anavagīta,,
anavagraha,,
anavacchinna,,
anavadānīya,,
anavadyāṅga,ī,
anavadrāṇa,,
anavadharṣya,,
anavadhāna,,
anavadhṛṣya,,
anavana,ī,
anavapṛgṇa,,
anavabudhyamāna,,
anavabrava,,
anavamṛśya,,
anavarata,,
anavara,,
anavarāgra,,
anavarārdhya,,
anavaruddha,,
anavarodhya,,
anavarṇa,,
anavalamba,,
anavalambita,,
anavalepa,,
anavalopa,,
anavasara,,
anavasa,,
anavasāna,,
anavasita,,
anavaskara,,
anavastha,,
anavasthāna,,
anavasthāyin,ī,
anavasthitacitta,,
anavasthita,,
anavahita,,
anavahvara,,
anavāpta,,
anavāya,,
anavithya,,
anavekṣa,,
anaveta,,
anaveṣṭa,,
anavrata,,
anaśana,,
anaśanāya,,
anaśvara,,
anaśva,,
anaṣṭa,,
anasūyaka,,
anasūya,,
anastamita,,
anastha,,
anasvin,ī,
anahaṃkāra,,
anahaṃkṛta,,
anahaṃvādin,ī,
anaha,,
anākāra,,
anākārita,,
anākāśa,,
anākṛta,,
anāktākṣa,,
anākrānta,,
anākṣārita,,
anāgata,,
anāgama,,
anāgamya,,
anāgarta,,
anāgāmin,ī,
anāgāmuka,,
anāgūrtin,ī,
anācāra,,
anācārin,ī,
anācāryabhogīna,,
anācīrṇa,,
anācchṛṇṇa,,
anājñaptakārin,ī,
anājñapta,,
anājñāta,,
anāḍhya,,
anātata,,
anātapa,,
anātura,,
anātmaka,,
anātmajña,,
anātmanīna,,
anātmya,,
anātyantika,,
anādadāna,,
anādara,,
anādarin,ī,
anādinidhana,,
anādin,ī,
anādimadhyānta,,
anādiṣṭa,,
anādīnava,,
anādṛta,,
anādeya,,
anādeśakara,,
anādyananta,,
anādyanta,,
anādya,,
anādhṛṣṭa,,
anādhṛṣya,,
anānata,,
anānukṛtya,,
anānuda,,
anānudiṣṭa,,
anāntarīyaka,,
anāpanna,,
anāpūyita,,
anāpta,,
anāpya,,
